filename,motifId,meanScore,medianScore,meanPercentile,medianPercentile,meanInteriorEditDistance,medianInteriorEditDistance,meanFullEditDistance,medianFullEditDistance,rotation
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_00998.1,-17.288,-17.305,5.0907,4.3500,3.7333,4.0000,5.5333,6.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_01054.1,-18.858,-18.650,0.92067,0.78000,4.0000,4.0000,5.8000,6.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_01239.1,-18.628,-18.184,0.53533,0.58000,3.2000,3.0000,5.2000,5.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_02359.2,-85.264,-85.254,0.0000,0.0000,10.067,10.000,12.133,12.000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_02690.1,-1018.4,-1018.4,0.0000,0.0000,7.9333,8.0000,10.867,11.000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_02809.2,-22.656,-23.079,2.5887,2.0600,4.3333,4.0000,6.4667,6.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_02835.1,-42.351,-41.969,0.0000,0.0000,5.4000,6.0000,7.2667,7.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_03110.1,-36.799,-35.947,0.022000,0.030000,7.1333,7.0000,9.6000,9.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_03282.1,-14.186,-13.435,67.821,81.550,6.2000,6.0000,8.8000,9.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_03741.1,-39.619,-39.460,0.018000,0.020000,7.1333,7.0000,8.6667,8.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_03914.1,-36.568,-36.369,0.0000,0.0000,5.0000,5.0000,6.5333,6.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_03931.1,-1010.3,-1008.0,0.0000,0.0000,4.5333,5.0000,7.2000,7.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_05221.1,-37.564,-37.549,46.136,46.260,9.0000,9.0000,10.600,10.000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_05462.1,-25.266,-25.116,0.00066667,0.0000,5.0000,5.0000,6.7333,7.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_05723.1,-8.2442,-7.6848,94.826,99.160,1.5333,1.0000,3.4000,3.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_06306.1,-40.221,-40.241,0.0020000,0.0000,8.6000,9.0000,11.533,12.000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_06390.2,-21.700,-21.591,1.2373,1.1100,3.1333,3.0000,4.7333,5.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_06429.3,-33.783,-33.665,0.0000,0.0000,3.9333,4.0000,6.2667,6.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_06468.1,-48.466,-48.267,0.0000,0.0000,6.6667,7.0000,8.6000,9.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_06471.1,-47.161,-49.376,0.0000,0.0000,4.0667,4.0000,7.1333,8.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_06635.1,-11.799,-11.683,95.020,97.810,4.0000,4.0000,5.9333,6.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_06808.1,-15.389,-15.601,42.246,37.830,2.8000,3.0000,4.8000,5.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_06847.1,-39.175,-39.330,0.0000,0.0000,7.3333,7.0000,8.3333,8.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_07300.1,-30.579,-30.305,0.0000,0.0000,4.2000,4.0000,7.1333,7.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_08926.1,-33.047,-32.764,0.0000,0.0000,4.0667,4.0000,6.5333,7.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_09333.1,-25.806,-25.309,15.513,14.520,6.0667,6.0000,9.4000,10.000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_09348.4,-16.664,-16.300,8.5960,8.1100,3.0000,3.0000,5.2667,6.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_09520.1,-15.132,-15.108,5.3100,4.3800,3.2667,3.0000,5.6000,6.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_09882.1,-20.194,-19.749,39.422,43.320,4.2000,4.0000,5.5333,5.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_10007.2,-19.790,-19.708,0.75933,0.61000,3.4667,3.0000,4.6667,4.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_11302.1,-15.596,-15.933,40.621,35.930,5.5333,6.0000,6.8667,7.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_11751.1,-28.424,-28.269,0.0000,0.0000,3.8000,4.0000,6.1333,6.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_11778.1,-33.152,-32.614,0.0000,0.0000,6.1333,6.0000,7.6000,8.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_11869.1,-17.055,-17.072,3.5553,4.0900,4.6000,5.0000,7.5333,8.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_12211.1,-22.806,-22.781,26.293,25.180,6.9333,7.0000,8.6667,9.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_12486.1,-29.396,-30.252,0.78200,0.32000,5.6667,5.0000,9.4667,9.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_12507.1,-25.356,-25.403,0.97400,0.89000,6.8667,7.0000,8.7333,8.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_13069.2,-21.140,-20.881,0.63867,0.33000,4.4667,4.0000,6.4000,7.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_13682.1,-17.323,-17.289,10.159,7.9800,4.2000,4.0000,6.0000,6.0000,1.0000
